audit_id,pilot_id,category,label,relative_path
UISAUD_001,DVP_007_0020f18400cc,UIScreenshots,0,Data/UIScreenshots/0_real/3942.jpg
UISAUD_002,DVP_013_003f16df2207,UIScreenshots,0,Data/UIScreenshots/0_real/6011.jpg
UISAUD_003,DVP_028_008b321370d4,UIScreenshots,0,Data/UIScreenshots/0_real/53059.jpg
UISAUD_004,DVP_052_0143021eaa7a,UIScreenshots,0,Data/UIScreenshots/0_real/8555.jpg
UISAUD_005,DVP_060_017dd1a3bd75,UIScreenshots,0,Data/UIScreenshots/0_real/37309.jpg
UISAUD_006,DVP_066_01ad978401b4,UIScreenshots,0,Data/UIScreenshots/0_real/71879.jpg
UISAUD_007,DVP_077_01ece75e67f5,UIScreenshots,0,Data/UIScreenshots/0_real/52107.jpg
UISAUD_008,DVP_103_0275720d8098,UIScreenshots,0,Data/UIScreenshots/0_real/8592.jpg
UISAUD_009,DVP_121_02ce358ab638,UIScreenshots,0,Data/UIScreenshots/0_real/8560.jpg
UISAUD_010,DVP_123_02d2900ddb7d,UIScreenshots,0,Data/UIScreenshots/0_real/56610.jpg
UISAUD_011,DVP_164_03b8c995fbde,UIScreenshots,0,Data/UIScreenshots/0_real/32067.jpg
UISAUD_012,DVP_175_042344ee216c,UIScreenshots,0,Data/UIScreenshots/0_real/388.jpg
UISAUD_013,DVP_192_048c22541787,UIScreenshots,0,Data/UIScreenshots/0_real/21654.jpg
UISAUD_014,DVP_193_048c859d70ad,UIScreenshots,0,Data/UIScreenshots/0_real/36775.jpg
UISAUD_015,DVP_199_04a0d7791ed9,UIScreenshots,0,Data/UIScreenshots/0_real/6068.jpg
UISAUD_016,DVP_201_04afcd64dc6f,UIScreenshots,0,Data/UIScreenshots/0_real/54812.jpg
UISAUD_017,DVP_205_04bace07540b,UIScreenshots,0,Data/UIScreenshots/0_real/36973.jpg
UISAUD_018,DVP_210_04cb7826c9d6,UIScreenshots,0,Data/UIScreenshots/0_real/46583.jpg
UISAUD_019,DVP_231_054ccee07886,UIScreenshots,0,Data/UIScreenshots/0_real/5871.jpg
UISAUD_020,DVP_240_057a58b188c4,UIScreenshots,0,Data/UIScreenshots/0_real/20401.jpg
UISAUD_021,DVP_245_05859fa4600a,UIScreenshots,0,Data/UIScreenshots/0_real/30518.jpg
UISAUD_022,DVP_248_05963696e4fa,UIScreenshots,0,Data/UIScreenshots/0_real/37894.jpg
