pilot_id,relative_path
DVP_001_00009dcb92a2,Data/Tables/0_real/PMC3361340_table_0.jpg
DVP_002_00095f59a74b,Data/Receipts/1_fake/receipt_0609.png
DVP_003_000cc7e882fa,Data/AcademicPosters/1_fake/academic_poster_0823.png
DVP_004_000f693d4a62,Data/UIScreenshots/1_fake/ui_0844.png
DVP_005_001093bb82c1,Data/CommercialPosters/1_fake/commercial_poster_0332.png
DVP_006_001b9f70299d,Data/UIScreenshots/1_fake/ui_0850.png
DVP_007_0020f18400cc,Data/UIScreenshots/0_real/3942.jpg
DVP_008_002425e25739,Data/InfographicCharts/1_fake/infographic_chart_0455.png
DVP_009_002812010de4,Data/InfographicCharts/1_fake/infographic_chart_0373.png
DVP_010_002cab38dc59,Data/AcademicPosters/1_fake/academic_poster_0393.png
DVP_011_002cb99f3691,Data/AcademicPosters/1_fake/academic_poster_0655.png
DVP_012_002d584c4e7f,Data/AcademicPosters/1_fake/academic_poster_0234.png
DVP_013_003f16df2207,Data/UIScreenshots/0_real/6011.jpg
DVP_014_0042fe15d832,Data/InfographicCharts/0_real/00013316.jpeg
DVP_015_0046cf9c9f1a,Data/AcademicPosters/1_fake/academic_poster_0602.png
DVP_016_004b61a8ee7f,Data/Tables/1_fake/table_0726.png
DVP_017_0051c3354791,Data/InfographicCharts/1_fake/infographic_chart_0399.png
DVP_018_00553172e64a,Data/Receipts/1_fake/receipt_0214.png
DVP_019_0062f18128e1,Data/InfographicCharts/0_real/00000395.jpeg
DVP_020_0067c7996c04,Data/CommercialPosters/0_real/5ecd32ca499b85dcc7980750_preview.jpg
DVP_021_006c5fceb252,Data/InfographicCharts/0_real/00015440.jpeg
DVP_022_0071d7b81993,Data/CommercialPosters/1_fake/commercial_poster_0990.png
DVP_023_0074132a6a8f,Data/Tables/1_fake/table_0293.png
DVP_024_007917063fc5,Data/AcademicPosters/1_fake/academic_poster_0216.png
DVP_025_007a18897b6b,Data/Tables/0_real/PMC5664791_table_1.jpg
DVP_026_007a5bc356f2,Data/InfographicCharts/0_real/00057800.jpg
DVP_027_007f8f10cccb,Data/AcademicPosters/1_fake/academic_poster_0807.png
DVP_028_008b321370d4,Data/UIScreenshots/0_real/53059.jpg
DVP_029_0090071373da,Data/UIScreenshots/1_fake/ui_0153.png
DVP_030_00993b6ea489,Data/Receipts/1_fake/receipt_1061.png
DVP_031_00a25e8951c0,Data/AcademicPosters/0_real/NeurIPS_2022_54176_Streaming Radiance Fields for 3D Video Synthesis.png
DVP_032_00b1b3aebe3c,Data/InfographicCharts/1_fake/infographic_chart_0359.png
DVP_033_00b8639a4298,Data/UIScreenshots/1_fake/ui_0310.png
DVP_034_00b8efaf230b,Data/Receipts/0_real/X51007339118.jpg
DVP_035_00bcfd0e9c96,Data/CommercialPosters/1_fake/commercial_poster_0049.png
DVP_036_00bf168fd92d,Data/CommercialPosters/1_fake/commercial_poster_0257.png
DVP_037_00c137df1a71,Data/InfographicCharts/1_fake/infographic_chart_0165.png
DVP_038_00c49d3e5261,Data/AcademicPosters/0_real/ICLR_2022_6636_Map Induction_ Compositional spatial submap learning for eff.png
DVP_039_00c60ed30745,Data/Receipts/0_real/X51005715006.jpg
DVP_040_00c7f8f86a6c,Data/Receipts/0_real/X51006311764.jpg
DVP_041_00cc2dbc33ae,Data/AcademicPosters/0_real/ICLR_2023_11930_Exploring The Role of Mean Teachers in Self-supervised Maske.png
DVP_042_00d29d8e111a,Data/AcademicPosters/1_fake/academic_poster_0336.png
DVP_043_00d9532b88f5,Data/UIScreenshots/1_fake/ui_0547.png
DVP_044_00fc768ab465,Data/Tables/0_real/PMC5732374_table_1.jpg
DVP_045_0102932205a0,Data/Tables/1_fake/table_0463.png
DVP_046_0107906549df,Data/InfographicCharts/1_fake/infographic_chart_0608.png
DVP_047_010c0e55105c,Data/Tables/0_real/PMC5714864_table_1.jpg
DVP_048_010e09ec457f,Data/UIScreenshots/1_fake/ui_0536.png
DVP_049_0118f3cf4061,Data/CommercialPosters/0_real/5a6f2b1d8c32ec6f8bc5567e_preview.jpg
DVP_050_0134146f813d,Data/Receipts/1_fake/receipt_0944.png
DVP_051_013feef01c56,Data/CommercialPosters/1_fake/commercial_poster_0729.png
DVP_052_0143021eaa7a,Data/UIScreenshots/0_real/8555.jpg
DVP_053_0147eb1ff5d1,Data/InfographicCharts/1_fake/infographic_chart_0596.png
DVP_054_0155a51ce8a6,Data/UIScreenshots/1_fake/ui_0683.png
DVP_055_015b3d437c3f,Data/Tables/0_real/PMC4663529_table_3.jpg
DVP_056_016cbad5c739,Data/AcademicPosters/0_real/NeurIPS_2022_55073_Biologically Inspired Dynamic Thresholds for Spiking Neural .png
DVP_057_01794c2b6b86,Data/UIScreenshots/1_fake/ui_0553.png
DVP_058_017aab6a650f,Data/Tables/0_real/PMC4700601_table_0.jpg
DVP_059_017d3d27150e,Data/Tables/0_real/PMC6163741_table_1.jpg
DVP_060_017dd1a3bd75,Data/UIScreenshots/0_real/37309.jpg
DVP_061_01820d9ac11f,Data/InfographicCharts/0_real/00008926.jpeg
DVP_062_019b773ed49c,Data/AcademicPosters/0_real/ICML_2024_32933_Don_t trust your eyes_ on the _un_reliability of feature vis.png
DVP_063_019c92e3ffab,Data/CommercialPosters/0_real/5b3f4a3d1eb1c99e2a3b84c2_preview.jpg
DVP_064_01a3c38c16b2,Data/Receipts/1_fake/receipt_0367.png
DVP_065_01abd78c859f,Data/UIScreenshots/1_fake/ui_0377.png
DVP_066_01ad978401b4,Data/UIScreenshots/0_real/71879.jpg
DVP_067_01b2837fcc3a,Data/CommercialPosters/1_fake/commercial_poster_0369.png
DVP_068_01b7dd76924d,Data/Tables/0_real/PMC5859550_table_3.jpg
DVP_069_01bcfb59c00e,Data/Receipts/1_fake/receipt_0550.png
DVP_070_01c3147af964,Data/CommercialPosters/1_fake/commercial_poster_0730.png
DVP_071_01c448a8c43e,Data/Tables/1_fake/table_0065.png
DVP_072_01d0a9a5868e,Data/InfographicCharts/0_real/00057060.jpg
DVP_073_01d2c3267b57,Data/CommercialPosters/0_real/5cd68d107d4459dfe1349845_preview.jpg
DVP_074_01dd36157623,Data/AcademicPosters/1_fake/academic_poster_0442.png
DVP_075_01dd5c9ef4fd,Data/Receipts/1_fake/receipt_0458.png
DVP_076_01dd70ff61f2,Data/InfographicCharts/1_fake/infographic_chart_0480.png
