pilot_id,relative_path,category,label,selection_score
DVP_001_00009dcb92a2,Data/Tables/0_real/PMC3361340_table_0.jpg,Tables,0,00009dcb92a240c39f1ee189e4deea2ae3e8d647e62e9a805d439b290f771c87
DVP_002_00095f59a74b,Data/Receipts/1_fake/receipt_0609.png,Receipts,1,00095f59a74b0b77e37a3ddd7832ed3b4702834b4470922b844929ca1ce86451
DVP_003_000cc7e882fa,Data/AcademicPosters/1_fake/academic_poster_0823.png,AcademicPosters,1,000cc7e882fabdf7313a6fd6573c47d73063a1c2ef2aa2f2c6dfc5cf36d13d93
DVP_004_000f693d4a62,Data/UIScreenshots/1_fake/ui_0844.png,UIScreenshots,1,000f693d4a62c690cc1e856d3ba95b1c5bfd60216b8960a020fc66396ec1cbc4
DVP_005_001093bb82c1,Data/CommercialPosters/1_fake/commercial_poster_0332.png,CommercialPosters,1,001093bb82c1194793baa9cb688cd37046f11b9f8b1fb12950a0e0dcdb0d06da
DVP_006_001b9f70299d,Data/UIScreenshots/1_fake/ui_0850.png,UIScreenshots,1,001b9f70299d948007ea23398f1c0ec3f78e10549b29d4482324d01e68516976
DVP_007_0020f18400cc,Data/UIScreenshots/0_real/3942.jpg,UIScreenshots,0,0020f18400cc5659cf9066f7cfa9d26f38742afa3d7c5e9bcfb159860eef1764
DVP_008_002425e25739,Data/InfographicCharts/1_fake/infographic_chart_0455.png,InfographicCharts,1,002425e25739289f8cf25b54b91a6d594c4221fa9fd8d99d37a51b29af3c3a2f
DVP_009_002812010de4,Data/InfographicCharts/1_fake/infographic_chart_0373.png,InfographicCharts,1,002812010de40cafc1f8b91cea40c69a3cf0b6c5e607c5da87e26e8d8da3339a
DVP_010_002cab38dc59,Data/AcademicPosters/1_fake/academic_poster_0393.png,AcademicPosters,1,002cab38dc5903f57dfe60207b2ab33c8d6c7fb528ed7eb533775e1d3dc594e0
DVP_011_002cb99f3691,Data/AcademicPosters/1_fake/academic_poster_0655.png,AcademicPosters,1,002cb99f36919213a563106558f82311aec77e332172832c3cd3a3277ceee2b4
DVP_012_002d584c4e7f,Data/AcademicPosters/1_fake/academic_poster_0234.png,AcademicPosters,1,002d584c4e7f28460205fdae440e892fc2fae9cab6ae05a943f7353218fcd40b
DVP_013_003f16df2207,Data/UIScreenshots/0_real/6011.jpg,UIScreenshots,0,003f16df22073713f5acbdb282968d1c4aa9ee090b727246585035dc6eaac2cc
