pilot_id,relative_path,category,label,image_width,image_height,region_count,union_coverage_norm,sum_box_area_norm,mean_box_area_norm,median_box_area_norm,std_box_area_norm,mean_box_width_norm,mean_box_height_norm,mean_confidence,low_confidence_fraction,center_x_mean,center_x_std,center_y_mean,center_y_std,center_x_span,center_y_span,nearest_neighbor_mean_norm,nearest_neighbor_median_norm,nearest_neighbor_std_norm,pairwise_distance_mean_norm,pairwise_distance_std_norm,row_alignment_fraction,column_alignment_fraction,angle_mean_abs_deg,angle_std_deg,rotated_fraction_gt_5deg,ocr_runtime_seconds,center_grid_0_0,center_grid_0_1,center_grid_0_2,center_grid_0_3,center_grid_1_0,center_grid_1_1,center_grid_1_2,center_grid_1_3,center_grid_2_0,center_grid_2_1,center_grid_2_2,center_grid_2_3,center_grid_3_0,center_grid_3_1,center_grid_3_2,center_grid_3_3
DVP_001_00009dcb92a2,Data/Tables/0_real/PMC3361340_table_0.jpg,Tables,0,684,278,89,0.24967657452984982,0.25043386343556734,0.002813863634107498,0.0020509907863183138,0.004123973543801912,0.05340364018660884,0.05516934766793307,0.9109757550563101,0.0,0.5254547835837782,0.2547770481569939,0.512436675361708,0.2132444505400051,0.8589181286549707,0.8309352517985611,0.06522786820884112,0.05935701932950031,0.012626677622615694,0.427883782838517,0.20048263724223808,0.067926455566905,0.10367722165474974,6.166877495008221,22.58545424002185,0.07865168539325842,0.8131012999983795,0.02247191011235955,0.033707865168539325,0.056179775280898875,0.02247191011235955,0.056179775280898875,0.0898876404494382,0.1348314606741573,0.0898876404494382,0.06741573033707865,0.06741573033707865,0.10112359550561797,0.06741573033707865,0.033707865168539325,0.0449438202247191,0.06741573033707865,0.0449438202247191
DVP_002_00095f59a74b,Data/Receipts/1_fake/receipt_0609.png,Receipts,1,1023,1537,61,0.23476373913967047,0.23585955044388943,0.003866550007276876,0.002724582488261209,0.003038309327745659,0.1747031392721504,0.02182237059632881,0.9071179965616659,0.0,0.5294153953091509,0.20733839243432303,0.4517523966045796,0.20775973511113477,0.6612903225806452,0.909238776837996,0.03907473572108648,0.028190392747831472,0.01979881630412033,0.37586776399628413,0.18412450740423833,0.03114754098360656,0.08688524590163935,9.005466392096542,26.789264246381254,0.09836065573770492,0.23645479999868257,0.0,0.09836065573770492,0.06557377049180328,0.0,0.01639344262295082,0.11475409836065574,0.19672131147540983,0.11475409836065574,0.04918032786885246,0.08196721311475409,0.06557377049180328,0.09836065573770492,0.0,0.09836065573770492,0.0,0.0
DVP_003_000cc7e882fa,Data/AcademicPosters/1_fake/academic_poster_0823.png,AcademicPosters,1,1402,1122,176,0.2533575594654573,0.2560319355339075,0.0014547269064426563,0.000839137366786943,0.0023222276666099483,0.08756160031124369,0.016098484848484848,0.8580044442056802,0.06818181818181818,0.49382551471110075,0.2632681246204128,0.5507353091273148,0.2454134635152123,0.8865905848787446,0.9523172905525846,0.02892431886863993,0.022283066879587633,0.017123898664008996,0.4596901039021134,0.22190355618152377,0.04857142857142857,0.052142857142857144,0.9493916503801262,6.916942345534331,0.017045454545454544,0.2930928000005224,0.017045454545454544,0.028409090909090908,0.005681818181818182,0.045454545454545456,0.11931818181818182,0.056818181818181816,0.13068181818181818,0.0625,0.0625,0.08522727272727272,0.08522727272727272,0.045454545454545456,0.03977272727272727,0.03977272727272727,0.13068181818181818,0.045454545454545456
DVP_004_000f693d4a62,Data/UIScreenshots/1_fake/ui_0844.png,UIScreenshots,1,941,1672,64,0.1437311442915084,0.14381683183419858,0.0022471379974093528,0.0016207434827044424,0.0018238531851064456,0.13529489904357067,0.017437948564593304,0.8723775774879844,0.078125,0.48466940102659384,0.26182847263435594,0.5620691360070019,0.2542505071943439,0.8134962805526036,0.954386778634899,0.061484615820464675,0.05366176464397786,0.04869674287832179,0.46980085974790936,0.22340676412388927,0.040674603174603176,0.06398809523809523,8.653019974604929,26.480397283823823,0.109375,0.2108819000004587,0.015625,0.078125,0.046875,0.015625,0.0625,0.046875,0.03125,0.03125,0.109375,0.109375,0.078125,0.125,0.03125,0.125,0.015625,0.078125
DVP_005_001093bb82c1,Data/CommercialPosters/1_fake/commercial_poster_0332.png,CommercialPosters,1,1448,1086,32,0.13436390321825747,0.13441986406601344,0.00420062075206292,0.0017010825880365882,0.007559921281597431,0.09515279696132597,0.030070211786372005,0.8695262008867678,0.09375,0.4803858506888244,0.21013771199010625,0.5216963040598663,0.2887224167777918,0.7707182320441989,0.9134438305709024,0.052463018137643605,0.032233562085156736,0.04372417325074847,0.4554642465231392,0.23625474285329057,0.08870967741935484,0.05040322580645161,5.761581402433242,21.82392042989379,0.0625,0.24901429999954416,0.0,0.0625,0.09375,0.0,0.03125,0.25,0.15625,0.0625,0.09375,0.0,0.0,0.0,0.03125,0.09375,0.0625,0.0625
DVP_006_001b9f70299d,Data/UIScreenshots/1_fake/ui_0850.png,UIScreenshots,1,941,1672,43,0.09875216522854814,0.09884437811754776,0.0022987064678499478,0.0021565422105161466,0.0010772623614819304,0.12112300126041073,0.01944475353288083,0.8920134949983513,0.023255813953488372,0.5050260519472307,0.30339108798167347,0.5446647799106641,0.2790376592595384,0.89798087141339,0.9183612440191388,0.06428128674049732,0.05396261391058876,0.04796927898998815,0.5329578757230514,0.25271150138008314,0.05537098560354374,0.07087486157253599,0.6293053413782149,1.2830062913554192,0.0,0.19764590000158933,0.023255813953488372,0.09302325581395349,0.0,0.046511627906976744,0.11627906976744186,0.0,0.09302325581395349,0.023255813953488372,0.11627906976744186,0.0,0.06976744186046512,0.13953488372093023,0.09302325581395349,0.0,0.11627906976744186,0.06976744186046512
DVP_007_0020f18400cc,Data/UIScreenshots/0_real/3942.jpg,UIScreenshots,0,1080,1920,8,0.042338927469135805,0.0423389274691358,0.005292365933641975,0.004828317901234568,0.0037200385241409556,0.22268518518518518,0.022005208333333335,0.881824023872179,0.125,0.47384259259259254,0.29131068443545827,0.19850260416666665,0.11093121482464613,0.7847222222222223,0.3375,0.15316998837285553,0.11700922703931327,0.07080691440513748,0.4033078389682117,0.2438037553347154,0.03571428571428571,0.03571428571428571,11.432184644115763,29.835236094909824,0.125,0.1916101000006165,0.0,0.375,0.0,0.125,0.25,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP_008_002425e25739,Data/InfographicCharts/1_fake/infographic_chart_0455.png,InfographicCharts,1,1254,1254,37,0.22591816713337293,0.22814330664998,0.006166035314864324,0.004584373068382134,0.005231763948193137,0.23371697055907584,0.02754429070218544,0.8787778346924513,0.0,0.6354311523084447,0.2350225686721793,0.4570841749678669,0.2730205336356498,0.6981658692185008,0.9138755980861244,0.07042500119577826,0.05263157894736842,0.05853448195194627,0.4581479483043986,0.2384572589844909,0.03003003003003003,0.14864864864864866,0.1429951723782141,0.3805767786826352,0.0,0.34023960000013176,0.02702702702702703,0.10810810810810811,0.08108108108108109,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.21621621621621623,0.02702702702702703,0.02702702702702703,0.0,0.24324324324324326,0.0,0.08108108108108109,0.02702702702702703,0.05405405405405406
DVP_009_002812010de4,Data/InfographicCharts/1_fake/infographic_chart_0373.png,InfographicCharts,1,1347,1167,57,0.1925071996610577,0.19261152874552545,0.0033791496271144816,0.0024733626854306343,0.006358508712435261,0.12489092069446073,0.024579443467280023,0.8845281155687919,0.10526315789473684,0.4620647064032968,0.29100907435252665,0.49500300129511793,0.2302355007079945,0.8930957683741647,0.9108826049700085,0.0583881903531939,0.058411952079579034,0.01734734202285339,0.47758794621973866,0.22850985666442825,0.05639097744360902,0.10714285714285714,7.221562786707577,24.066040293268195,0.08771929824561403,0.306465699999535,0.07017543859649122,0.08771929824561403,0.0,0.017543859649122806,0.10526315789473684,0.07017543859649122,0.07017543859649122,0.10526315789473684,0.10526315789473684,0.08771929824561403,0.07017543859649122,0.10526315789473684,0.0,0.07017543859649122,0.03508771929824561,0.0
DVP_010_002cab38dc59,Data/AcademicPosters/1_fake/academic_poster_0393.png,AcademicPosters,1,1402,1122,209,0.21165404842378588,0.2145871317013383,0.001026732687566212,0.0006738527339349694,0.001481096056200533,0.06780129548355392,0.014639783708176615,0.8588445278535601,0.11004784688995216,0.5028080055467677,0.2667014211044947,0.6007054236266217,0.2582087258280515,0.9276034236804565,0.9518716577540106,0.02351143881687496,0.01916221033868093,0.016224574219516265,0.4737515834200377,0.22910093591634345,0.060406698564593304,0.04803091645196908,2.6453872883775023,14.192212080133201,0.0430622009569378,0.3007835000007617,0.009569377990430622,0.03349282296650718,0.03349282296650718,0.023923444976076555,0.05741626794258373,0.06220095693779904,0.04784688995215311,0.09090909090909091,0.06220095693779904,0.07177033492822966,0.06698564593301436,0.06220095693779904,0.08133971291866028,0.11961722488038277,0.09090909090909091,0.0861244019138756
DVP_011_002cb99f3691,Data/AcademicPosters/1_fake/academic_poster_0655.png,AcademicPosters,1,1402,1122,158,0.1454844756827296,0.14707598770282332,0.0009308606816634387,0.0006007460694042887,0.0017218277864207757,0.06196392134202496,0.013921794264311019,0.8580646520249207,0.12025316455696203,0.45702512205992146,0.30850255764807344,0.5565964688190027,0.26534079079561124,0.9290299572039943,0.9442959001782532,0.027758870512093598,0.024064171122994638,0.017088600758871104,0.5160094240798192,0.2588487873878325,0.05216479883899057,0.050955414012738856,4.0581578968655325,17.701575336687775,0.056962025316455694,0.28712869999981194,0.05063291139240506,0.03164556962025317,0.0759493670886076,0.056962025316455694,0.06329113924050633,0.012658227848101266,0.02531645569620253,0.06329113924050633,0.2088607594936709,0.04430379746835443,0.05063291139240506,0.04430379746835443,0.0379746835443038,0.0759493670886076,0.0759493670886076,0.08227848101265822
DVP_012_002d584c4e7f,Data/AcademicPosters/1_fake/academic_poster_0234.png,AcademicPosters,1,1402,1122,190,0.23377886054508829,0.23543492744004618,0.0012391311970528745,0.0007056382402526566,0.00145663466835085,0.07981830467752835,0.015554930106013696,0.8600427105799459,0.08421052631578947,0.5640581800619957,0.265130960848611,0.5798431645264316,0.2630233434753515,0.9186875891583451,0.9576648841354725,0.027732297261042347,0.0196110861469618,0.018575051326991155,0.4753235385489432,0.23344138090957067,0.055806182121971595,0.05524923419660262,3.7421448420587176,16.856707532880172,0.07894736842105263,0.2890996999994968,0.010526315789473684,0.05263157894736842,0.04736842105263158,0.02631578947368421,0.03684210526315789,0.07894736842105263,0.031578947368421054,0.06315789473684211,0.06315789473684211,0.04736842105263158,0.08421052631578947,0.13157894736842105,0.04736842105263158,0.09473684210526316,0.08421052631578947,0.1
DVP_013_003f16df2207,Data/UIScreenshots/0_real/6011.jpg,UIScreenshots,0,1080,1920,44,0.15562727974186308,0.15657552083333334,0.0035585345643939395,0.002507716049382716,0.004876869440680825,0.1393939393939394,0.02251420454545455,0.8994435337503646,0.0,0.474394803824533,0.3229784825286438,0.3930984530608079,0.31769460054363696,0.9074074074074073,0.8874777680088819,0.07473406053007901,0.05950986863674868,0.06235834527303719,0.5841800319888435,0.28065973382134396,0.09408033826638477,0.07716701902748414,2.0469275640731954,12.975909670303011,0.022727272727272728,0.18952040000112902,0.09090909090909091,0.11363636363636363,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.06818181818181818,0.022727272727272728,0.09090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,0.11363636363636363,0.022727272727272728,0.0,0.06818181818181818
DVP_014_0042fe15d832,Data/InfographicCharts/0_real/00013316.jpeg,InfographicCharts,0,1200,1200,30,0.3562454231207793,0.35906423611111116,0.011968807870370373,0.010997916666666666,0.009885641957733476,0.3135833333333334,0.03894444444444445,0.8678414040904152,0.03333333333333333,0.4327161102179213,0.22762071981342236,0.4842374326232343,0.26361972459892313,0.86,0.8637499999999999,0.10341591120023359,0.09641610298837311,0.0497577053586208,0.4477331221992019,0.22475347141244806,0.027586206896551724,0.04597701149425287,3.378725336750231,16.208473885732133,0.03333333333333333,0.33369929999935266,0.03333333333333333,0.1,0.1,0.03333333333333333,0.06666666666666667,0.1,0.06666666666666667,0.03333333333333333,0.0,0.23333333333333334,0.0,0.0,0.06666666666666667,0.1,0.0,0.06666666666666667
